848187-011,2
849557-009,1
849557-011,5
849557-014,1
849557-016,1
849557-100,3
849558-009,1
849558-011,1
849558-016,8
849558-020,1
849558-201,1
849809-005,1
852576-616,1
852625-030,6
852630-602,1
854261-001,3
854262-001,15
854716-043,1
854745-010,1
854851-441,2
854851-661,1
854866-001,2
854866-011,1
854866-019,1
854866-209,29
855150-010,2
855478-010,7
855478-657,1
855522-652,1
855522-687,1
856080-451,3
856081-010,1
856290-010,5
856443-010,3
856472-514,1
856479-429,3
856609-100,1
856635-010,1
856847-010,2
857091-010,2
857148-010,2
857152-010,3
857385-411,1
857830-011,1
857846-010,4
857872-002,5
857872-004,4
857872-600,5
858010-060,1
858010-429,3
858147-010,1
858154-100,2
858430-100,1
858584-010,1
858584-100,1
858734-010,2
858734-027,1
858875-010,1
859224-010,1
859224-015,1
859414-001,2
859415-001,5
859416-001,3
859524-200,1
859550-002,1
859594-020,1
859621-006,4
859668-010,1
859953-010,2
860066-010,1
860099-063,1
860199-010,2
860199-410,1
860379-010,1
860383-010,2
860516-010,1
860708-032,3
861466-013,1
861527-010,1
861527-038,1
861558-010,1
861558-091,1
861587-010,2
861591-010,1
861630-010,1
861639-010,1
861680-010,2
861759-100,1
862513-203,4
862513-600,3
862785-619,1
863516-038,1
863516-382,1
863739-010,1
863743-454,1
863762-002,1
863779-001,21
863779-009,1
863779-014,3
863779-015,1
863779-041,8
863779-406,2
863780-001,3
863780-041,1
863782-010,1
863784-010,1
864024-003,5
864024-204,3
864024-400,13
864025-005,1
864348-019,3
864348-101,1
864461-321,3
864467-677,3
864477-657,1
864477-662,1
864491-425,1
866066-100,1
866383-495,1
866813-657,1
866944-010,1
866950-504,1
867769-012,2
868928-451,1
869259-010,1
869633-010,3
869633-660,1
869928-091,1
869950-100,5
869984-601,6
870021-601,1
870023-403,1
870023-404,2
870024-601,1
870497-010,3
870775-497,1
870775-498,1
874121-010,1
874610-010,1
874848-010,1
874852-010,1
875695-003,1
875844-203,1
876070-100,7
877045-001,1
877045-002,1
877198-014,2
877201-010,1
877205-060,1
877237-609,1
878068-001,3
878068-007,2
878068-010,1
878068-101,1
878628-500,1
878670-011,23
879960-010,2
879968-060,2
880266-002,5
880268-002,1
880304-004,1
880555-001,1
880555-409,1
880560-408,1
880560-603,2
880560-605,1
880825-010,9
880837-609,3
880839-001,1
880839-408,1
880840-010,1
880840-605,1
880841-004,1
880842-003,1
880842-100,1
880843-015,1
880843-407,1
880844-005,1
880844-008,1
880844-302,1
880845-003,3
880846-006,1
880848-003,4
880848-402,1
880872-006,2
880872-401,2
880969-010,1
881103-200,1
881805-001,5
881927-101,1
881937-004,1
881938-004,1
881953-002,1
882175-010,1
882175-429,3
882832-010,1
882988-601,1
883985-687,1
885281-010,2
885846-010,1
885905-473,1
886137-010,2
886139-010,1
886141-010,1
886143-010,2
886167-010,1
886372-687,1
887094-101,1
887542-100,2
887777-011,1
888150-010,1
888164-112,3
888377-010,1
888377-012,1
888423-010,7
888423-051,4
889384-036,1
889541-010,1
889626-634,1
889956-010,1
889975-010,1
890289-010,1
890289-021,1
890350-101,1
890573-677,1
890656-060,2
890667-010,1
890848-010,1
890940-010,1
890948-010,2
890950-010,1
890956-010,6
891685-010,1
891709-100,1
892651-010,1
892669-100,2
892670-100,1
893063-010,1
894229-010,1
894668-010,1
895810-517,1
896194-012,2
896195-006,1
896298-010,5
897564-023,3
897637-004,5
897637-401,4
897645-005,1
897647-004,2
897649-001,1
897649-002,1
897649-005,1
897652-001,5
897652-002,2
897652-100,1
897657-004,3
897662-401,2
897816-004,2
897816-005,2
897816-008,1
897821-001,1
897821-411,1
897998-405,1
898004-010,1
898033-005,1
898033-201,9
898033-300,2
898299-010,2
898457-005,1
898466-009,1
898476-001,1
898479-104,2
898485-001,2
898512-600,4
899371-684,1
899623-010,1
899843-657,1
899849-504,1
902803-002,1
903270-778,1
903614-616,1
903837-100,1
904260-601,1
904695-002,1
904701-104,2
904701-401,1
904715-007,2
904716-001,6
904716-402,1
